"","Genedataset1.FC","Genedataset1.FDR","Genedataset2.FC","Genedataset2.FDR","Genedataset3.FC","Genedataset3.FDR","Genedataset4.FC","Genedataset4.FDR","Count"
"ABT1","0.424722381883574","0.000825738002539442","0.837107772575909","0.532786544518828","no value","no value","1.06316703974314","0.0711566637822964",0
"ABTB1","0.366093813831632","2.71768239847282e-05","0.529111908072624","0.00251964594781815","no value","no value","0.775024682280375","0.00220673240444256",-3
"ABTB2","0.624239613222446","0.0357216975144382","2.13086408214679","0.230638033870752","no value","no value","0.899211861870489","0.00121916906756444",-2
"ACAA1","0.520279472808631","0.000136387629236295","Inf","0.00787848525462262","no value","no value","0.796744806610072","0.00397641414525661",-1
"ACAA2","0.475819312284994","0.00362662563758309","Inf","0.000460536037896148","no value","no value","2.18559742903266","0.0229391563455374",1
"ACACA","0.740297969642519","0.0751163968740548","Inf","0.158110218548639","no value","no value","1.08205874029564","0.432855042996483",-1
"ACACB","no value","no value","no value","no value","no value","no value","1.01994982614152","0.835794029420421",0
"ACAD11","0.365020963678825","1.20450565803931e-05","no value","no value","no value","no value","1.06293796748332","0.0887344762766489",0
"ACAD8","0.510897813320086","0.00491803831169672","Inf","0.252029374684799","no value","no value","no value","no value",-1
"ACAD9","0.644438814648776","1.07998080667958e-06","1.93258816352503","0.3128266143796","no value","no value","0.983674587197809","0.110538690737786",-1
"ACADL","0.184636465873716","0.0112662158491784","1.03651554160278","0.933789915045802","no value","no value","0.785093547829383","0.00930009163909769",-2
"ACADM","0.447742521299407","0.00234349221282304","7.68314824519879","0.00736839463970461","no value","no value","0.955229110018169","0.203567465298599",0
"ACADS","0.529523445143961","0.00540816973823177","2.51934926394262","0.0134554560716952","no value","no value","0.787428958242031","9.97991617306108e-07",-1
"ACADSB","0.626790802257353","0.0879601700550078","0.471178761180856","0.345581859355592","no value","no value","1.48780577552768","0.0551738772662358",0
"ACADVL","0.918681157855679","0.544976806349675","0.863174384775245","0.000296779753464643","no value","no value","1.02809226613262","0.856993686503854",-1
"ACAN","no value","no value","no value","no value","no value","no value","0.7175223337659","1.64487181477557e-05",-1
"ACAP1","no value","no value","no value","no value","no value","no value","1.26528573167852","7.23692235322212e-05",1
"ACAP2","no value","no value","no value","no value","no value","no value","1.01971485600357","0.906552065572614",0
"ACAP3","no value","no value","no value","no value","no value","no value","1.34073696429368","0.0267591979858803",1
"ACAT1","0.556384993135139","0.00758574857691153","1.11849562135786","0.0255529631848393","no value","no value","1.01866780218094","0.500965284880187",0
"ACAT2","1.13994510450043","0.00778584424565786","1.16308830020243","0.00532821962825328","no value","no value","0.770791012779563","6.00946669515493e-06",1
"ACBD3","0.768509725093544","0.00347887403326522","Inf","0.332924494295606","no value","no value","1.01242726513572","0.996406941296913",-1
"ACBD4","no value","no value","no value","no value","no value","no value","0.789070773961738","9.14114859896462e-05",-1
"ACBD5","0.499393017727395","0.00175037566070932","Inf","0.0595717389558692","no value","no value","0.569072949976373","4.82731658786969e-08",-1
