"","Genedataset1.FC","Genedataset1.FDR","Genedataset2.FC","Genedataset2.FDR","Genedataset3.FC","Genedataset3.FDR","Genedataset4.FC","Genedataset4.FDR","Count"
"GOLGB1","0.621982365557096","0.0117877619231133","Inf","0.0494532069266516","no value","no value","1.05829294401072","0.318311515279683",0
"GOLIM4","no value","no value","no value","no value","no value","no value","1.82916380761431","0.0248280046861876",1
"GOLM1","no value","no value","no value","no value","no value","no value","0.988296564459745","0.885255961551154",0
"GOLPH2","0.301384284833927","0.000535973043941412","0.42641118296151","0.136011180926625","no value","no value","no value","no value",-1
"GOLPH3","0.490133945318341","0.00131647446133912","3.95006347416877","0.0074635643120234","no value","no value","0.918202834135251","0.0136057238855604",-1
"GOLPH3L","0.565498462052706","0.0570074059248535","Inf","0.0142188045370994","no value","no value","0.918228598419444","0.402360859611447",0
"GOLPH4","0.466261403355316","8.63078926219958e-07","1.8280406105379","0.200724336369191","no value","no value","no value","no value",-1
"GOLT1A","0.403049095170524","0.00192804098301515","0.347992259103111","0.0192225559742369","no value","no value","0.667354866915903","0.00287755280904364",-3
"GON4","0.330772048271211","1.04838131519218e-08","no value","no value","no value","no value","no value","no value",-1
"GON4L","no value","no value","no value","no value","no value","no value","0.812403335101428","2.74257983580337e-05",-1
"GOPC","0.647454277092468","0.00906186308868799","0.821285392117309","0.827344657376393","no value","no value","1.06449304474935","0.992986666773291",-1
"GORAB","no value","no value","no value","no value","no value","no value","0.96170235573012","0.174249896777094",0
"GORASP1","0.535493752089212","0.00102352233438556","Inf","0.0059285359976495","no value","no value","0.999463819519649","0.920206132712866",0
"GORASP2","0.430763430664247","0.0147928141945827","1.84525046543258","0.446117234185112","no value","no value","0.795880526336924","0.00176037535472962",-2
"GOSR1","0.560795739292379","0.0341378727494024","no value","no value","no value","no value","0.952328737017655","3.52540253919453e-05",-2
"GOSR2","0.500084292107077","0.000130533181239901","Inf","0.0395766711931696","no value","no value","0.986665684501899","0.538022077992405",0
"GOT1","0.546449223574631","0.000352146031638182","Inf","0.00188987927948994","no value","no value","0.781216894451623","0.00186619668874548",-1
"GOT2","0.432330311453626","5.52367829001582e-06","0.602420058257703","2.30696212957592e-07","no value","no value","0.925905156750949","0.240955681489178",-2
"GP1BA","1.14689369559102","0.0390158710970176","0.868147903704255","0.0224179682768215","no value","no value","1.04638657167444","0.192337160767012",0
"GP1BB","0.566665274708232","0.00149720078611623","0.905029058965888","0.260084852103467","0.399344810523981","0.0201960667147595","no value","no value",-2
"GP2","0.316975623519459","1.93177415686514e-09","0.591255448037507","5.07257925233368e-30","no value","no value","no value","no value",-2
"GP5","0.855351923883605","0.0714298336419835","0.775483828355446","0.000764555915091065","no value","no value","1.11349976904889","0.206016903688863",-2
"GP6","no value","no value","no value","no value","no value","no value","0.73019352569615","0.00239958921384755",-1
"GP9","1.04068361617586","0.100767211680213","0.982264422468314","0.517575186883245","no value","no value","no value","no value",0
"GPA33","0.982391568595006","0.798060808966501","no value","no value","no value","no value","1.01538138290676","0.908312946839414",0
"GPAA1","0.451286556622164","0.00373510850402116","Inf","0.0869549340436413","no value","no value","1.0013370795184","0.769028849312394",0
"GPAM","0.798535858499583","0.0211051227334796","1.42236546672617","0.224865628432652","no value","no value","0.777037190442218","0.000231281917234023",-2
"GPAT2","no value","no value","no value","no value","no value","no value","1.03451735062413","0.312381447282943",0
"GPATC1","0.662949596228035","6.44419477130829e-07","0.571249425208158","0.000435367435840531","no value","no value","no value","no value",-2
"GPATC2","0.644902635470027","1.6699116767116e-05","no value","no value","no value","no value","no value","no value",-1
"GPATC3","1.06549249059217","0.0871915664528341","1.11103300307774","0.00459506300588825","0.701029292627885","0.00134980483844343","no value","no value",1
"GPATC4","0.438662555007752","0.0054077667647394","1.15413935435969","0.658181028694197","no value","no value","no value","no value",-1
"GPATCH1","no value","no value","no value","no value","no value","no value","1.0548223916001","0.341846037350915",0
"GPATCH4","no value","no value","no value","no value","no value","no value","1.84870762060323","0.355255718956413",0
"GPATCH8","no value","no value","no value","no value","no value","no value","0.803043021855173","0.00116509365559755",-1
"GPBAR1","no value","no value","no value","no value","no value","no value","1.55182857633228","6.30350887446099e-06",1
"GPBP1","no value","no value","no value","no value","no value","no value","1.36362512755849","0.0598005134196188",1
"GPBP1L1","1.05333050477999","0.240602017886829","no value","no value","no value","no value","0.882311747101392","0.000956750346035375",-1
"GPC1","0.371697440016798","0.00125139121365572","1.14180584943425","0.791690707836107","no value","no value","0.699004487950659","0.000435473967039237",-2
"GPC2","1.88192601058264","0.0403203559182638","1.87897547803226","0.0169927406222249","no value","no value","1.21166077777459","0.00924831913587074",3
"GPC3","0.54622651993438","0.503833605037855","8.99834968683574","2.77461797687736e-13","0.690168789893427","0.525144680286412","no value","no value",1
"GPC4","0.361123605748677","0.409900322721517","9.73984667299474","1.3747312761145e-12","no value","no value","no value","no value",1
"GPC5","0.391638024550248","0.00443021737778821","4.65379259390622","0.0492302467646373","no value","no value","0.46917818747996","4.14923533909311e-09",-1
"GPC6","1.57636986771501","0.133266277849742","5.32878649755496","4.73360083067955e-18","no value","no value","2.43731184799357","0.0182818129041641",2
"GPD1","0.423472858107198","0.000606942685774785","0.55779836608225","6.13517242732924e-06","no value","no value","0.947245433797254","0.2463896496669",-2
"GPD1L","0.562398458988883","0.000476537960726118","0.748332502855596","0.418279526444925","no value","no value","1.0751240457103","0.396399542561412",-1
"GPD2","0.989728478719882","0.875319501516445","no value","no value","no value","no value","0.909999477339102","0.0503830488500139",-1
"GPER","no value","no value","no value","no value","no value","no value","1.00403179642131","0.948114146857653",0
"GPHA2","1.15427325788342","0.0448603922381973","1.06332105472232","0.347351477540128","no value","no value","0.949939469394462","0.0181926157893058",0
"GPHN","0.480047195962064","0.00180054437878306","198.157828545","0.0699397396121834","no value","no value","1.28343103112057","0.540982260826265",0
"GPI","0.437619785961711","6.13244708991531e-07","4.43379134331246","0.0542621869768161","no value","no value","0.976924505855424","0.0845456158994859",-1
"GPIAP1","0.390330979040929","0.00259386514598891","0.413359380001502","0.586224934500164","no value","no value","no value","no value",-1
